mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_neurons,param_hidden_layers,param_epochs,param_dropout_rate,param_batch_size,param_activation_function,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
15.133891661961874,0.2048159421275386,0.9680693944295248,0.1544691923075956,256,3,10,0.1,256,tanh,"{'neurons': 256, 'hidden_layers': 3, 'epochs': 10, 'dropout_rate': 0.1, 'batch_size': 256, 'activation_function': 'tanh'}",-0.23375052181980935,-0.23442456691479965,-0.2356937936653341,-0.23462296079998102,0.0008056452762270014,91
80.39341791470845,15.192197396592164,0.816216786702474,0.36260361752512166,128,4,50,0.1,64,relu,"{'neurons': 128, 'hidden_layers': 4, 'epochs': 50, 'dropout_rate': 0.1, 'batch_size': 64, 'activation_function': 'relu'}",-0.21354523954549381,-0.2120570504157063,-0.21420163964872146,-0.21326797653664054,0.0008972074552558167,9
17.08755397796631,5.065108318351797,1.2442443370819092,0.17704060256767332,64,4,10,0.3,256,tanh,"{'neurons': 64, 'hidden_layers': 4, 'epochs': 10, 'dropout_rate': 0.3, 'batch_size': 256, 'activation_function': 'tanh'}",-0.23603434028920534,-0.23343847463422537,-0.23541377201574448,-0.23496219564639173,0.0011068184246432041,100
15.366267919540405,1.0984132644334088,0.7167632579803467,0.30965145786132603,256,4,10,0.1,64,tanh,"{'neurons': 256, 'hidden_layers': 4, 'epochs': 10, 'dropout_rate': 0.1, 'batch_size': 64, 'activation_function': 'tanh'}",-0.23558264890889005,-0.2330053045302516,-0.2358295765288687,-0.2348058433226701,0.0012771578523242044,95
22.270369211832683,2.9158878293791153,2.074509382247925,0.2319549062555492,128,5,10,0.3,32,tanh,"{'neurons': 128, 'hidden_layers': 5, 'epochs': 10, 'dropout_rate': 0.3, 'batch_size': 32, 'activation_function': 'tanh'}",-0.2337075471325331,-0.23305141127648565,-0.23686843316579687,-0.2345424638582719,0.001666379004520278,90
19.80830979347229,2.576475481148999,1.3640482425689697,0.5450796363684852,128,5,10,0.1,128,tanh,"{'neurons': 128, 'hidden_layers': 5, 'epochs': 10, 'dropout_rate': 0.1, 'batch_size': 128, 'activation_function': 'tanh'}",-0.23394760618536523,-0.23254999933248444,-0.2349349827439923,-0.23381086275394733,0.0009784547486790514,66
31.233972708384197,3.8543930516547253,1.256340742111206,0.49808934874919497,256,5,20,0.0,128,tanh,"{'neurons': 256, 'hidden_layers': 5, 'epochs': 20, 'dropout_rate': 0.0, 'batch_size': 128, 'activation_function': 'tanh'}",-0.233977233463024,-0.23320254649513866,-0.23690178347768504,-0.2346938544786159,0.0015929527767117853,93
31.15551209449768,0.5323736687743318,0.9037833213806152,0.25514028408126616,64,5,50,0.0,256,relu,"{'neurons': 64, 'hidden_layers': 5, 'epochs': 50, 'dropout_rate': 0.0, 'batch_size': 256, 'activation_function': 'relu'}",-0.21501248656505925,-0.21065523392587765,-0.2150473249681939,-0.21357168181971029,0.002062289127266717,12
28.923846006393433,1.1346752091723522,1.6103300253550212,0.7751341980752176,64,5,20,0.3,64,tanh,"{'neurons': 64, 'hidden_layers': 5, 'epochs': 20, 'dropout_rate': 0.3, 'batch_size': 64, 'activation_function': 'tanh'}",-0.23549196458601845,-0.23328310246185974,-0.23525477008685222,-0.23467661237824347,0.000990106971629339,92
11.054929653803507,1.0119313196118527,1.076226790746053,0.4821804364885263,256,4,10,0.0,256,relu,"{'neurons': 256, 'hidden_layers': 4, 'epochs': 10, 'dropout_rate': 0.0, 'batch_size': 256, 'activation_function': 'relu'}",-0.2218520019037197,-0.221139984175253,-0.222367684720572,-0.22178655693318158,0.0005033384814553736,36
18.937761783599854,0.4773789699586775,1.314854383468628,0.4263250442115228,128,4,10,0.0,32,tanh,"{'neurons': 128, 'hidden_layers': 4, 'epochs': 10, 'dropout_rate': 0.0, 'batch_size': 32, 'activation_function': 'tanh'}",-0.23447701712647567,-0.23338044114301795,-0.23474834326911803,-0.23420193384620389,0.0005913499612249327,81
25.56881872812907,0.5810985670964305,1.9771188100179036,1.8890935182321258,64,5,50,0.0,256,tanh,"{'neurons': 64, 'hidden_layers': 5, 'epochs': 50, 'dropout_rate': 0.0, 'batch_size': 256, 'activation_function': 'tanh'}",-0.2245771339391358,-0.22270777345000523,-0.22625455179688111,-0.2245131530620074,0.001448672800634086,45
19.091562509536743,5.669409746381303,1.2409013907114665,0.5867349467271662,128,3,10,0.1,64,tanh,"{'neurons': 128, 'hidden_layers': 3, 'epochs': 10, 'dropout_rate': 0.1, 'batch_size': 64, 'activation_function': 'tanh'}",-0.23341828434594475,-0.23352355730280627,-0.23557522531827138,-0.23417235565567415,0.0009929092159032388,79
57.12967777252197,23.737881630379988,5.601066509882609,3.2200354452152107,128,5,20,0.0,32,tanh,"{'neurons': 128, 'hidden_layers': 5, 'epochs': 20, 'dropout_rate': 0.0, 'batch_size': 32, 'activation_function': 'tanh'}",-0.23525521930841747,-0.232100157064337,-0.23476809482640312,-0.23404115706638587,0.0013868269109036141,72
195.81455651919046,10.785743062243519,2.935816685358683,0.956786999054526,256,5,50,0.0,32,relu,"{'neurons': 256, 'hidden_layers': 5, 'epochs': 50, 'dropout_rate': 0.0, 'batch_size': 32, 'activation_function': 'relu'}",-0.21392124578949073,-0.21171595923536107,-0.21399609809075176,-0.21321110103853455,0.0010576664488229372,8
